"id","options_tsid","extra_tsid","created_at","updated_at"
"29","5827","1358","2015-10-07 10:21:53","2015-10-07 10:21:53"
"30","5885","1365","2015-10-07 10:21:53","2015-10-07 10:21:53"
"31","5912","1367","2015-10-07 10:21:53","2015-10-07 10:21:53"
"32","6250","1457","2015-10-07 10:21:53","2015-10-07 10:21:53"
"33","8755","1574","2015-10-07 10:21:53","2015-10-07 10:21:53"
"34","9347","1662","2015-10-07 10:21:53","2015-10-07 10:21:53"
"35","9394","1706","2015-10-07 10:21:53","2015-10-07 10:21:53"
"36","9778","1824","2015-10-07 10:21:53","2015-10-07 10:21:53"
"37","9820","1837","2015-10-07 10:21:53","2015-10-07 10:21:53"
"38","10158","1904","2015-10-07 10:21:53","2015-10-07 10:21:53"
"39","13522","2405","2015-10-07 10:21:53","2015-10-07 10:21:53"
"40","13536","2408","2015-10-07 10:21:53","2015-10-07 10:21:53"
"41","16099","2741","2015-10-07 10:21:53","2015-10-07 10:21:53"
"42","16111","2743","2015-10-07 10:21:53","2015-10-07 10:21:53"
"43","16165","2767","2015-10-07 10:21:53","2015-10-07 10:21:53"
"44","17408","2922","2015-10-07 10:21:53","2015-10-07 10:21:53"
"45","18686","3083","2015-10-07 10:21:53","2015-10-07 10:21:53"
"46","18898","1289","2015-10-07 10:21:53","2015-10-07 10:21:53"
"47","13","2","2015-10-07 10:21:53","2015-10-07 10:21:53"
"48","21","3","2015-10-07 10:21:53","2015-10-07 10:21:53"
"49","89","10","2015-10-07 10:21:53","2015-10-07 10:21:53"
"50","41","6","2015-10-07 10:21:53","2015-10-07 10:21:53"
"51","109","12","2015-10-07 10:21:53","2015-10-07 10:21:53"
"52","125","14","2015-10-07 10:21:53","2015-10-07 10:21:53"
"53","135","15","2015-10-07 10:21:53","2015-10-07 10:21:53"
"54","160","18","2015-10-07 10:21:53","2015-10-07 10:21:53"
"55","192","21","2015-10-07 10:21:53","2015-10-07 10:21:53"
"56","200","24","2015-10-07 10:21:53","2015-10-07 10:21:53"
"57","232","28","2015-10-07 10:21:53","2015-10-07 10:21:53"
"58","248","29","2015-10-07 10:21:53","2015-10-07 10:21:53"
"59","313","37","2015-10-07 10:21:53","2015-10-07 10:21:53"
"60","277","33","2015-10-07 10:21:53","2015-10-07 10:21:53"
"61","764","60","2015-10-07 10:21:53","2015-10-07 10:21:53"
"62","788","63","2015-10-07 10:21:53","2015-10-07 10:21:53"
"63","843","68","2015-10-07 10:21:53","2015-10-07 10:21:53"
"64","855","69","2015-10-07 10:21:53","2015-10-07 10:21:53"
"65","871","1636","2015-10-07 10:21:53","2015-10-07 10:21:53"
"66","931","76","2015-10-07 10:21:53","2015-10-07 10:21:53"
"67","901","74","2015-10-07 10:21:53","2015-10-07 10:21:53"
"68","980","78","2015-10-07 10:21:53","2015-10-07 10:21:53"
"69","995","79","2015-10-07 10:21:53","2015-10-07 10:21:53"
"70","1005","80","2015-10-07 10:21:53","2015-10-07 10:21:53"
"71","1016","81","2015-10-07 10:21:53","2015-10-07 10:21:53"
"72","1024","82","2015-10-07 10:21:53","2015-10-07 10:21:53"
"73","1051","85","2015-10-07 10:21:53","2015-10-07 10:21:53"
"74","1063","87","2015-10-07 10:21:53","2015-10-07 10:21:53"
"75","1095","91","2015-10-07 10:21:53","2015-10-07 10:21:53"
"76","1113","93","2015-10-07 10:21:53","2015-10-07 10:21:53"
"77","1139","95","2015-10-07 10:21:53","2015-10-07 10:21:53"
"78","1375","111","2015-10-07 10:21:53","2015-10-07 10:21:53"
"79","1493","123","2015-10-07 10:21:53","2015-10-07 10:21:53"
"80","2018","162","2015-10-07 10:21:53","2015-10-07 10:21:53"
"81","2246","165","2015-10-07 10:21:53","2015-10-07 10:21:53"
"82","2288","169","2015-10-07 10:21:53","2015-10-07 10:21:53"
"83","2308","171","2015-10-07 10:21:53","2015-10-07 10:21:53"
"84","2322","172","2015-10-07 10:21:53","2015-10-07 10:21:53"
"85","2700","338","2015-10-07 10:21:53","2015-10-07 10:21:53"
"86","2731","340","2015-10-07 10:21:53","2015-10-07 10:21:53"
"87","2744","345","2015-10-07 10:21:53","2015-10-07 10:21:53"
"88","2815","361","2015-10-07 10:21:53","2015-10-07 10:21:53"
"89","2965","393","2015-10-07 10:21:53","2015-10-07 10:21:53"
"90","3065","397","2015-10-07 10:21:53","2015-10-07 10:21:53"
"91","3351","505","2015-10-07 10:21:53","2015-10-07 10:21:53"
"92","3439","552","2015-10-07 10:21:53","2015-10-07 10:21:53"
"93","3458","562","2015-10-07 10:21:53","2015-10-07 10:21:53"
"94","3473","568","2015-10-07 10:21:53","2015-10-07 10:21:53"
"95","3524","595","2015-10-07 10:21:53","2015-10-07 10:21:53"
"96","3572","609","2015-10-07 10:21:53","2015-10-07 10:21:53"
"97","3645","642","2015-10-07 10:21:53","2015-10-07 10:21:53"
"98","3802","698","2015-10-07 10:21:53","2015-10-07 10:21:53"
"99","3831","705","2015-10-07 10:21:53","2015-10-07 10:21:53"
"100","3837","706","2015-10-07 10:21:53","2015-10-07 10:21:53"
"101","3927","741","2015-10-07 10:21:53","2015-10-07 10:21:53"
"102","3974","768","2015-10-07 10:21:53","2015-10-07 10:21:53"
"103","4095","830","2015-10-07 10:21:53","2015-10-07 10:21:53"
"104","4102","836","2015-10-07 10:21:53","2015-10-07 10:21:53"
"105","4188","884","2015-10-07 10:21:53","2015-10-07 10:21:53"
"106","23754","3512","2015-10-07 10:21:53","2015-10-07 10:21:53"
"107","23772","3514","2015-10-07 10:21:53","2015-10-07 10:21:53"
"108","23692","3507","2015-10-07 10:21:53","2015-10-07 10:21:53"
"109","23702","3508","2015-10-07 10:21:53","2015-10-07 10:21:53"
"110","23714","3509","2015-10-07 10:21:53","2015-10-07 10:21:53"
"111","23406","3409","2015-10-07 10:21:53","2015-10-07 10:21:53"
"112","23431","3416","2015-10-07 10:21:53","2015-10-07 10:21:53"
"113","23032","3388","2015-10-07 10:21:53","2015-10-07 10:21:53"
"114","23396","3408","2015-10-07 10:21:53","2015-10-07 10:21:53"
"115","23866","3526","2015-10-07 10:21:53","2015-10-07 10:21:53"
"116","24178","3550","2015-10-07 10:21:53","2015-10-07 10:21:53"
"117","24426","3807","2015-10-07 10:21:53","2015-10-07 10:21:53"
"118","24505","3818","2015-10-07 10:21:53","2015-10-07 10:21:53"
"119","24533","3819","2015-10-07 10:21:53","2015-10-07 10:21:53"
"120","24616","3832","2015-10-07 10:21:53","2015-10-07 10:21:53"
"121","24758","3904","2015-10-07 10:21:53","2015-10-07 10:21:53"
"122","24791","3910","2015-10-07 10:21:53","2015-10-07 10:21:53"
"123","25071","3971","2015-10-07 10:21:53","2015-10-07 10:21:53"
"124","25619","4281","2015-10-07 10:21:53","2015-10-07 10:21:53"
"125","25970","4344","2015-10-07 10:21:53","2015-10-07 10:21:53"
"126","26180","4378","2015-10-07 10:21:53","2015-10-07 10:21:53"
"127","28344","4598","2015-10-07 10:21:53","2015-10-07 10:21:53"
"128","28491","4611","2015-10-07 10:21:53","2015-10-07 10:21:53"
"129","28515","4612","2015-10-07 10:21:53","2015-10-07 10:21:53"
"130","28626","4629","2015-10-07 10:21:53","2015-10-07 10:21:53"
"131","30901","4886","2015-10-07 10:21:53","2015-10-07 10:21:53"
"132","36115","103","2015-10-07 10:21:53","2015-10-07 10:21:53"
"133","39497","5307","2015-10-07 10:21:53","2015-10-07 10:21:53"
"134","41543","5686","2015-10-07 10:21:53","2015-10-07 10:21:53"
"135","42043","447","2015-10-07 10:21:53","2015-10-07 10:21:53"
"136","42053","605","2015-10-07 10:21:53","2015-10-07 10:21:53"
"137","43054","974","2015-10-07 10:21:53","2015-10-07 10:21:53"
"138","44815","5993","2015-10-07 10:21:53","2015-10-07 10:21:53"
"139","44897","6012","2015-10-07 10:21:53","2015-10-07 10:21:53"
"140","44938","6036","2015-10-07 10:21:53","2015-10-07 10:21:53"
"141","45082","6070","2015-10-07 10:21:53","2015-10-07 10:21:53"
"142","45104","6084","2015-10-07 10:21:53","2015-10-07 10:21:53"
"143","45213","6106","2015-10-07 10:21:53","2015-10-07 10:21:53"
"144","46928","92","2015-10-07 10:21:53","2015-10-07 10:21:53"
"145","47873","6472","2015-10-07 10:21:53","2015-10-07 10:21:53"
"146","50659","6759","2015-10-07 10:21:53","2015-10-07 10:21:53"
"147","62372","8124","2015-10-07 10:21:53","2015-10-07 10:21:53"
"148","64608","8540","2015-10-07 10:21:53","2015-10-07 10:21:53"
"149","64628","8546","2015-10-07 10:21:53","2015-10-07 10:21:53"
"150","64648","8552","2015-10-07 10:21:53","2015-10-07 10:21:53"
"151","64928","8723","2015-10-07 10:21:53","2015-10-07 10:21:53"
"152","64936","8727","2015-10-07 10:21:53","2015-10-07 10:21:53"
"153","64944","8731","2015-10-07 10:21:53","2015-10-07 10:21:53"
"154","66462","9276","2015-10-07 10:21:53","2015-10-07 10:21:53"
"155","66470","9281","2015-10-07 10:21:53","2015-10-07 10:21:53"
"156","66478","9286","2015-10-07 10:21:53","2015-10-07 10:21:53"
"157","66606","9318","2015-10-07 10:21:53","2015-10-07 10:21:53"
"158","66614","9323","2015-10-07 10:21:53","2015-10-07 10:21:53"
"159","66615","9323","2015-10-07 10:21:53","2015-10-07 10:21:53"
"160","66607","9318","2015-10-07 10:21:53","2015-10-07 10:21:53"
"161","66479","9286","2015-10-07 10:21:53","2015-10-07 10:21:53"
"162","66471","9281","2015-10-07 10:21:53","2015-10-07 10:21:53"
"163","66463","9276","2015-10-07 10:21:53","2015-10-07 10:21:53"
"164","64943","8734","2015-10-07 10:21:53","2015-10-07 10:21:53"
"165","64935","8730","2015-10-07 10:21:53","2015-10-07 10:21:53"
"166","64927","8726","2015-10-07 10:21:53","2015-10-07 10:21:53"
"167","64649","8552","2015-10-07 10:21:53","2015-10-07 10:21:53"
"168","64629","8546","2015-10-07 10:21:53","2015-10-07 10:21:53"
"169","64609","8540","2015-10-07 10:21:53","2015-10-07 10:21:53"
"170","62373","8124","2015-10-07 10:21:53","2015-10-07 10:21:53"
"171","50660","6759","2015-10-07 10:21:53","2015-10-07 10:21:53"
"172","46929","92","2015-10-07 10:21:53","2015-10-07 10:21:53"
"173","45214","6106","2015-10-07 10:21:53","2015-10-07 10:21:53"
"174","45105","6084","2015-10-07 10:21:53","2015-10-07 10:21:53"
"175","45083","6077","2015-10-07 10:21:53","2015-10-07 10:21:53"
"176","44939","6038","2015-10-07 10:21:53","2015-10-07 10:21:53"
"177","44898","6015","2015-10-07 10:21:53","2015-10-07 10:21:53"
"178","44816","5993","2015-10-07 10:21:53","2015-10-07 10:21:53"
"179","43053","974","2015-10-07 10:21:53","2015-10-07 10:21:53"
"180","42054","605","2015-10-07 10:21:53","2015-10-07 10:21:53"
"181","42044","447","2015-10-07 10:21:53","2015-10-07 10:21:53"
"182","41544","5686","2015-10-07 10:21:53","2015-10-07 10:21:53"
"183","39498","5785","2015-10-07 10:21:53","2015-10-07 10:21:53"
"184","36116","103","2015-10-07 10:21:53","2015-10-07 10:21:53"
"185","30902","4886","2015-10-07 10:21:53","2015-10-07 10:21:53"
"186","28627","4629","2015-10-07 10:21:53","2015-10-07 10:21:53"
"187","28492","4611","2015-10-07 10:21:53","2015-10-07 10:21:53"
"188","28345","4598","2015-10-07 10:21:53","2015-10-07 10:21:53"
"189","26181","4403","2015-10-07 10:21:53","2015-10-07 10:21:53"
"190","25971","4344","2015-10-07 10:21:53","2015-10-07 10:21:53"
"191","25620","4282","2015-10-07 10:21:53","2015-10-07 10:21:53"
"192","25072","3971","2015-10-07 10:21:53","2015-10-07 10:21:53"
"193","24792","3910","2015-10-07 10:21:53","2015-10-07 10:21:53"
"194","24759","3904","2015-10-07 10:21:53","2015-10-07 10:21:53"
"195","24617","3832","2015-10-07 10:21:53","2015-10-07 10:21:53"
"196","24534","3819","2015-10-07 10:21:53","2015-10-07 10:21:53"
"197","24506","3818","2015-10-07 10:21:53","2015-10-07 10:21:53"
"198","24427","3807","2015-10-07 10:21:53","2015-10-07 10:21:53"
"199","24179","3550","2015-10-07 10:21:53","2015-10-07 10:21:53"
"200","23868","3526","2015-10-07 10:21:53","2015-10-07 10:21:53"
"201","23397","3408","2015-10-07 10:21:53","2015-10-07 10:21:53"
"202","23033","3388","2015-10-07 10:21:53","2015-10-07 10:21:53"
"203","22008","552","2015-10-07 10:21:53","2015-10-07 10:21:53"
"204","23407","3409","2015-10-07 10:21:53","2015-10-07 10:21:53"
"205","23715","3509","2015-10-07 10:21:53","2015-10-07 10:21:53"
"206","23703","3508","2015-10-07 10:21:53","2015-10-07 10:21:53"
"207","23693","3507","2015-10-07 10:21:53","2015-10-07 10:21:53"
"208","23773","3514","2015-10-07 10:21:53","2015-10-07 10:21:53"
"209","23755","3512","2015-10-07 10:21:53","2015-10-07 10:21:53"
"210","4189","884","2015-10-07 10:21:53","2015-10-07 10:21:53"
"211","4104","837","2015-10-07 10:21:53","2015-10-07 10:21:53"
"212","4096","830","2015-10-07 10:21:53","2015-10-07 10:21:53"
"213","3975","768","2015-10-07 10:21:53","2015-10-07 10:21:53"
"214","3928","741","2015-10-07 10:21:53","2015-10-07 10:21:53"
"215","3830","702","2015-10-07 10:21:53","2015-10-07 10:21:53"
"216","3838","706","2015-10-07 10:21:53","2015-10-07 10:21:53"
"217","3803","698","2015-10-07 10:21:53","2015-10-07 10:21:53"
"218","3646","642","2015-10-07 10:21:53","2015-10-07 10:21:53"
"219","3573","620","2015-10-07 10:21:53","2015-10-07 10:21:53"
"220","3525","595","2015-10-07 10:21:53","2015-10-07 10:21:53"
"221","3474","568","2015-10-07 10:21:53","2015-10-07 10:21:53"
"222","3459","562","2015-10-07 10:21:53","2015-10-07 10:21:53"
"223","3350","506","2015-10-07 10:21:53","2015-10-07 10:21:53"
"224","3066","397","2015-10-07 10:21:53","2015-10-07 10:21:53"
"225","2966","393","2015-10-07 10:21:53","2015-10-07 10:21:53"
"226","2816","361","2015-10-07 10:21:53","2015-10-07 10:21:53"
"227","2743","345","2015-10-07 10:21:53","2015-10-07 10:21:53"
"228","2732","340","2015-10-07 10:21:53","2015-10-07 10:21:53"
"229","2701","338","2015-10-07 10:21:53","2015-10-07 10:21:53"
"230","2323","172","2015-10-07 10:21:53","2015-10-07 10:21:53"
"231","2309","171","2015-10-07 10:21:53","2015-10-07 10:21:53"
"232","2289","169","2015-10-07 10:21:53","2015-10-07 10:21:53"
"233","2247","165","2015-10-07 10:21:53","2015-10-07 10:21:53"
"234","2019","162","2015-10-07 10:21:53","2015-10-07 10:21:53"
"235","1494","123","2015-10-07 10:21:53","2015-10-07 10:21:53"
"236","1376","111","2015-10-07 10:21:53","2015-10-07 10:21:53"
"237","1140","95","2015-10-07 10:21:53","2015-10-07 10:21:53"
"238","1114","93","2015-10-07 10:21:53","2015-10-07 10:21:53"
"239","1096","91","2015-10-07 10:21:53","2015-10-07 10:21:53"
"240","1064","87","2015-10-07 10:21:53","2015-10-07 10:21:53"
"241","1052","85","2015-10-07 10:21:53","2015-10-07 10:21:53"
"242","1025","82","2015-10-07 10:21:53","2015-10-07 10:21:53"
"243","1017","81","2015-10-07 10:21:53","2015-10-07 10:21:53"
"244","1006","80","2015-10-07 10:21:53","2015-10-07 10:21:53"
"245","996","79","2015-10-07 10:21:53","2015-10-07 10:21:53"
"246","981","78","2015-10-07 10:21:53","2015-10-07 10:21:53"
"247","902","74","2015-10-07 10:21:53","2015-10-07 10:21:53"
"248","932","76","2015-10-07 10:21:53","2015-10-07 10:21:53"
"249","872","1635","2015-10-07 10:21:53","2015-10-07 10:21:53"
"250","856","69","2015-10-07 10:21:53","2015-10-07 10:21:53"
"251","844","68","2015-10-07 10:21:53","2015-10-07 10:21:53"
"252","789","63","2015-10-07 10:21:53","2015-10-07 10:21:53"
"253","765","60","2015-10-07 10:21:53","2015-10-07 10:21:53"
"254","278","33","2015-10-07 10:21:53","2015-10-07 10:21:53"
"255","314","37","2015-10-07 10:21:53","2015-10-07 10:21:53"
"256","249","29","2015-10-07 10:21:53","2015-10-07 10:21:53"
"257","233","28","2015-10-07 10:21:53","2015-10-07 10:21:53"
"258","201","24","2015-10-07 10:21:53","2015-10-07 10:21:53"
"259","193","21","2015-10-07 10:21:53","2015-10-07 10:21:53"
"260","161","18","2015-10-07 10:21:53","2015-10-07 10:21:53"
"261","136","15","2015-10-07 10:21:53","2015-10-07 10:21:53"
"262","126","14","2015-10-07 10:21:53","2015-10-07 10:21:53"
"263","110","12","2015-10-07 10:21:53","2015-10-07 10:21:53"
"264","42","6","2015-10-07 10:21:53","2015-10-07 10:21:53"
"265","90","10","2015-10-07 10:21:53","2015-10-07 10:21:53"
"266","22","3","2015-10-07 10:21:53","2015-10-07 10:21:53"
"267","14","2","2015-10-07 10:21:53","2015-10-07 10:21:53"
"268","18899","1289","2015-10-07 10:21:53","2015-10-07 10:21:53"
"269","18687","3083","2015-10-07 10:21:53","2015-10-07 10:21:53"
"270","18546","1296","2015-10-07 10:21:53","2015-10-07 10:21:53"
"271","17409","2922","2015-10-07 10:21:53","2015-10-07 10:21:53"
"272","16166","2767","2015-10-07 10:21:53","2015-10-07 10:21:53"
"273","16112","2743","2015-10-07 10:21:53","2015-10-07 10:21:53"
"274","16100","2741","2015-10-07 10:21:53","2015-10-07 10:21:53"
"275","13537","2408","2015-10-07 10:21:53","2015-10-07 10:21:53"
"276","13523","2405","2015-10-07 10:21:53","2015-10-07 10:21:53"
"277","10157","1904","2015-10-07 10:21:53","2015-10-07 10:21:53"
"278","9642","1343","2015-10-07 10:21:53","2015-10-07 10:21:53"
"279","9395","1706","2015-10-07 10:21:53","2015-10-07 10:21:53"
"280","9348","1663","2015-10-07 10:21:53","2015-10-07 10:21:53"
"281","8756","1575","2015-10-07 10:21:53","2015-10-07 10:21:53"
"282","6251","1457","2015-10-07 10:21:53","2015-10-07 10:21:53"
"283","5913","1367","2015-10-07 10:21:53","2015-10-07 10:21:53"
"284","5886","1365","2015-10-07 10:21:53","2015-10-07 10:21:53"
"285","5828","1358","2015-10-07 10:21:53","2015-10-07 10:21:53"
"286","5769","1346","2015-10-07 10:21:53","2015-10-07 10:21:53"
"287","5781","1348","2015-10-07 10:21:53","2015-10-07 10:21:53"
"288","5534","1304","2015-10-07 10:21:53","2015-10-07 10:21:53"
"289","5557","1311","2015-10-07 10:21:53","2015-10-07 10:21:53"
"290","5503","1300","2015-10-07 10:21:53","2015-10-07 10:21:53"
"291","4739","1157","2015-10-07 10:21:53","2015-10-07 10:21:53"
"292","4648","1122","2015-10-07 10:21:53","2015-10-07 10:21:53"
"293","4588","1079","2015-10-07 10:21:53","2015-10-07 10:21:53"
"294","4523","1048","2015-10-07 10:21:53","2015-10-07 10:21:53"
"295","4564","1067","2015-10-07 10:21:53","2015-10-07 10:21:53"
"296","4428","996","2015-10-07 10:21:53","2015-10-07 10:21:53"
"297","5417","1284","2015-10-07 10:21:53","2015-10-07 10:21:53"
"298","5412","1281","2015-10-07 10:21:53","2015-10-07 10:21:53"
"299","5377","1272","2015-10-07 10:21:53","2015-10-07 10:21:53"
"300","5174","1260","2015-10-07 10:21:53","2015-10-07 10:21:53"
"301","5062","1238","2015-10-07 10:21:53","2015-10-07 10:21:53"
"302","5111","1242","2015-10-07 10:21:53","2015-10-07 10:21:53"
"303","5150","1252","2015-10-07 10:21:53","2015-10-07 10:21:53"
"304","5136","1246","2015-10-07 10:21:53","2015-10-07 10:21:53"
"305","5134","1246","2015-10-07 10:21:53","2015-10-07 10:21:53"
"306","5032","1255","2015-10-07 10:21:53","2015-10-07 10:21:53"
"307","5199","1247","2015-10-07 10:21:53","2015-10-07 10:21:53"
"308","5176","1230","2015-10-07 10:21:53","2015-10-07 10:21:53"
"309","5420","1284","2015-10-07 10:21:53","2015-10-07 10:21:53"
"310","5064","1232","2015-10-07 10:21:53","2015-10-07 10:21:53"
"311","5152","1224","2015-10-07 10:21:53","2015-10-07 10:21:53"
"312","5113","1241","2015-10-07 10:21:53","2015-10-07 10:21:53"
"313","5784","1352","2015-10-07 10:21:53","2015-10-07 10:21:53"
"314","5748","1343","2015-10-07 10:21:53","2015-10-07 10:21:53"
"315","5831","1358","2015-10-07 10:21:53","2015-10-07 10:21:53"
"316","8929","1628","2015-10-07 10:21:53","2015-10-07 10:21:53"
"317","9736","1805","2015-10-07 10:21:53","2015-10-07 10:21:53"
"318","10121","1898","2015-10-07 10:21:53","2015-10-07 10:21:53"
"319","10132","1903","2015-10-07 10:21:53","2015-10-07 10:21:53"
"320","10274","1923","2015-10-07 10:21:53","2015-10-07 10:21:53"
"321","10330","1940","2015-10-07 10:21:53","2015-10-07 10:21:53"
"322","10499","1962","2015-10-07 10:21:53","2015-10-07 10:21:53"
"323","10572","1970","2015-10-07 10:21:53","2015-10-07 10:21:53"
"324","25","3","2015-10-07 10:21:53","2015-10-07 10:21:53"
"325","45","6","2015-10-07 10:21:53","2015-10-07 10:21:53"
"326","168","19","2015-10-07 10:21:53","2015-10-07 10:21:53"
"327","235","28","2015-10-07 10:21:53","2015-10-07 10:21:53"
"328","317","37","2015-10-07 10:21:53","2015-10-07 10:21:53"
"329","828","67","2015-10-07 10:21:53","2015-10-07 10:21:53"
"330","935","76","2015-10-07 10:21:53","2015-10-07 10:21:53"
"331","1099","91","2015-10-07 10:21:53","2015-10-07 10:21:53"
"332","1117","93","2015-10-07 10:21:53","2015-10-07 10:21:53"
"333","1177","97","2015-10-07 10:21:53","2015-10-07 10:21:53"
"334","1832","136","2015-10-07 10:21:53","2015-10-07 10:21:53"
"335","1842","140","2015-10-07 10:21:53","2015-10-07 10:21:53"
"336","2773","348","2015-10-07 10:21:53","2015-10-07 10:21:53"
"337","2981","393","2015-10-07 10:21:53","2015-10-07 10:21:53"
"338","3187","438","2015-10-07 10:21:53","2015-10-07 10:21:53"
"339","4216","900","2015-10-07 10:21:53","2015-10-07 10:21:53"
"340","23696","3507","2015-10-07 10:21:53","2015-10-07 10:21:53"
"341","23401","3408","2015-10-07 10:21:53","2015-10-07 10:21:53"
"342","23718","3509","2015-10-07 10:21:53","2015-10-07 10:21:53"
"343","25087","3986","2015-10-07 10:21:53","2015-10-07 10:21:53"
"344","47878","6474","2015-10-07 10:21:53","2015-10-07 10:21:53"
"345","53651","7196","2015-10-07 10:21:53","2015-10-07 10:21:53"
"346","66509","9291","2015-10-07 10:21:53","2015-10-07 10:21:53"
"347","66540","9296","2015-10-07 10:21:53","2015-10-07 10:21:53"
"348","66571","9301","2015-10-07 10:21:53","2015-10-07 10:21:53"
"349","66645","9328","2015-10-07 10:21:53","2015-10-07 10:21:53"
"350","66676","9333","2015-10-07 10:21:53","2015-10-07 10:21:53"
"351","66677","9333","2015-10-07 10:21:53","2015-10-07 10:21:53"
"352","66646","9328","2015-10-07 10:21:53","2015-10-07 10:21:53"
"353","66572","9301","2015-10-07 10:21:53","2015-10-07 10:21:53"
"354","66541","9296","2015-10-07 10:21:53","2015-10-07 10:21:53"
"355","66510","9291","2015-10-07 10:21:53","2015-10-07 10:21:53"
"356","53652","7196","2015-10-07 10:21:53","2015-10-07 10:21:53"
"357","25088","3986","2015-10-07 10:21:53","2015-10-07 10:21:53"
"358","23719","3509","2015-10-07 10:21:53","2015-10-07 10:21:53"
"359","23402","3408","2015-10-07 10:21:53","2015-10-07 10:21:53"
"360","23697","3507","2015-10-07 10:21:53","2015-10-07 10:21:53"
"361","4217","901","2015-10-07 10:21:53","2015-10-07 10:21:53"
"362","3188","438","2015-10-07 10:21:53","2015-10-07 10:21:53"
"363","2982","393","2015-10-07 10:21:53","2015-10-07 10:21:53"
"364","2772","348","2015-10-07 10:21:53","2015-10-07 10:21:53"
"365","1841","140","2015-10-07 10:21:53","2015-10-07 10:21:53"
"366","1833","136","2015-10-07 10:21:53","2015-10-07 10:21:53"
"367","1178","97","2015-10-07 10:21:53","2015-10-07 10:21:53"
"368","1118","93","2015-10-07 10:21:53","2015-10-07 10:21:53"
"369","1100","91","2015-10-07 10:21:53","2015-10-07 10:21:53"
"370","936","76","2015-10-07 10:21:53","2015-10-07 10:21:53"
"371","829","67","2015-10-07 10:21:53","2015-10-07 10:21:53"
"372","318","37","2015-10-07 10:21:53","2015-10-07 10:21:53"
"373","236","28","2015-10-07 10:21:53","2015-10-07 10:21:53"
"374","169","19","2015-10-07 10:21:53","2015-10-07 10:21:53"
"375","46","6","2015-10-07 10:21:53","2015-10-07 10:21:53"
"376","26","3","2015-10-07 10:21:53","2015-10-07 10:21:53"
"377","10571","1970","2015-10-07 10:21:53","2015-10-07 10:21:53"
"378","10480","1960","2015-10-07 10:21:53","2015-10-07 10:21:53"
"379","10133","1903","2015-10-07 10:21:53","2015-10-07 10:21:53"
"380","10122","1898","2015-10-07 10:21:53","2015-10-07 10:21:53"
"381","9641","1343","2015-10-07 10:21:53","2015-10-07 10:21:53"
"382","8930","1629","2015-10-07 10:21:53","2015-10-07 10:21:53"
"383","5832","1358","2015-10-07 10:21:53","2015-10-07 10:21:53"
"384","5785","1352","2015-10-07 10:21:53","2015-10-07 10:21:53"
"385","5421","1284","2015-10-07 10:21:53","2015-10-07 10:21:53"
"386","5279","1267","2015-10-07 10:21:53","2015-10-07 10:21:53"
"387","5126","1246","2015-10-07 10:21:53","2015-10-07 10:21:53"
"388","5128","1223","2015-10-07 10:21:53","2015-10-07 10:21:53"
"389","4839","1193","2015-10-07 10:21:53","2015-10-07 10:21:53"
"390","5184","1231","2015-10-07 10:21:53","2015-10-07 10:21:53"
"391","4519","1044","2015-10-07 10:21:53","2015-10-07 10:21:53"
"392","4705","1144","2015-10-07 10:21:53","2015-10-07 10:21:53"
"393","4777","1169","2015-10-07 10:21:53","2015-10-07 10:21:53"
